 Number of tacts (im units) = 10
 Signal_Sampling_Rate (im Hz) = 10
 Period Time (im ms) = 100
 Command Line ping -c1 192.168.1.1 > /dev/null 2>&1
 lev1 ; cycle ; 0 ; countPeriod ; 0 ; amplitude ; 190 ; srt ; 532134609
 lev1 ; cycle ; 9 ; countPeriod ; 6 ; amplitude ; 178 ; srt ; 793529624
 lev1 ; cycle ; 3 ; countPeriod ; 7 ; amplitude ; 171 ; srt ; 794599711
 lev1 ; cycle ; 4 ; countPeriod ; 7 ; amplitude ; 171 ; srt ; 779260024
 lev1 ; cycle ; 6 ; countPeriod ; 7 ; amplitude ; 171 ; srt ; 808144949
 lev1 ; cycle ; 1 ; countPeriod ; 8 ; amplitude ; 170 ; srt ; 717822312
 lev1 ; cycle ; 0 ; countPeriod ; 8 ; amplitude ; 170 ; srt ; 769492224
 lev1 ; cycle ; 2 ; countPeriod ; 8 ; amplitude ; 170 ; srt ; 764272177
 lev1 ; cycle ; 5 ; countPeriod ; 7 ; amplitude ; 171 ; srt ; 812134293
 lev1 ; cycle ; 7 ; countPeriod ; 7 ; amplitude ; 171 ; srt ; 751208306
 lev1 ; cycle ; 8 ; countPeriod ; 7 ; amplitude ; 171 ; srt ; 783987525
 lev1 ; cycle ; 9 ; countPeriod ; 7 ; amplitude ; 171 ; srt ; 746153823
 lev1 ; cycle ; 3 ; countPeriod ; 8 ; amplitude ; 170 ; srt ; 773906817
 lev1 ; cycle ; 4 ; countPeriod ; 8 ; amplitude ; 170 ; srt ; 738396578
 lev1 ; cycle ; 1 ; countPeriod ; 9 ; amplitude ; 178 ; srt ; 775920425
 lev1 ; cycle ; 6 ; countPeriod ; 8 ; amplitude ; 170 ; srt ; 797670907
 lev1 ; cycle ; 0 ; countPeriod ; 9 ; amplitude ; 178 ; srt ; 767585251
 lev1 ; cycle ; 2 ; countPeriod ; 9 ; amplitude ; 178 ; srt ; 768230036
 lev1 ; cycle ; 5 ; countPeriod ; 8 ; amplitude ; 170 ; srt ; 729468719
 lev1 ; cycle ; 7 ; countPeriod ; 8 ; amplitude ; 170 ; srt ; 738399607
 lev1 ; cycle ; 8 ; countPeriod ; 8 ; amplitude ; 170 ; srt ; 708875279
 lev1 ; cycle ; 9 ; countPeriod ; 8 ; amplitude ; 170 ; srt ; 692032370
 lev1 ; cycle ; 3 ; countPeriod ; 9 ; amplitude ; 178 ; srt ; 676659703
 lev1 ; cycle ; 4 ; countPeriod ; 9 ; amplitude ; 178 ; srt ; 631910154
 lev1 ; cycle ; 6 ; countPeriod ; 9 ; amplitude ; 178 ; srt ; 536578296
 lev1 ; cycle ; 5 ; countPeriod ; 9 ; amplitude ; 178 ; srt ; 482600100
 lev1 ; cycle ; 7 ; countPeriod ; 9 ; amplitude ; 178 ; srt ; 472600545
 lev1 ; cycle ; 8 ; countPeriod ; 9 ; amplitude ; 178 ; srt ; 456331602
 lev1 ; cycle ; 9 ; countPeriod ; 9 ; amplitude ; 178 ; srt ; 472990361
